Name,Gender,Breed,Age,Animal Type,Weight,Brought to Shelter,Located At,Kennel Location,Qualified For,Scrape Date
CAROLINA (A1180514),Female,English Foxhound,4 years old,Dog,62 pounds,2024.12.08,Charlotte-Mecklenburg Animal Services,TOOMEYD21,adopt,2024-12-08
COSMO (A1221785),Male,Pit Bull Terrier,"1 year, 9 months old",Dog,46 pounds,2024.12.08,Charlotte-Mecklenburg Animal Services,TOOMEYD12,adopt,2024-12-08
TOKYO (A1225928),Female,Plott Hound mix,"1 year, 1 month old",Dog,54 pounds,2024.12.08,Charlotte-Mecklenburg Animal Services,TOOMEYD33,adopt,2024-12-08
TANDY (A1232250),Male,Labrador Retriever mix,"1 year, 4 months old",Dog,66 pounds,2024.12.08,Charlotte-Mecklenburg Animal Services,TOOMEYD08,adopt,2024-12-08
REBEL (A1235595),Male,Labrador Retriever mix,5 years old,Dog,50 pounds,2024.12.08,Charlotte-Mecklenburg Animal Services,TOOMEYD24,adopt,2024-12-08
COAL (A1236688),Male,Pit Bull Terrier mix,"1 year, 1 month old",Dog,42 pounds,2024.12.08,Charlotte-Mecklenburg Animal Services,TOOMEYD22,adopt,2024-12-08
NOODLE (A1236653),Male,Pit Bull Terrier,"2 years, 1 month old",Dog,44 pounds,2024.12.08,Charlotte-Mecklenburg Animal Services,TOOMEYD26,adopt,2024-12-08
RHONDA (A1236913),Female,American Bully,,Dog,49 pounds,2024.12.08,Charlotte-Mecklenburg Animal Services,TOOMEYD25,adopt,2024-12-08
NYLA (A5174630),Female,Breed information is not provided by this shelter,8 years old,Dog,47 pounds,2024.12.08,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
HARVEY (A5288499),Male,Labrador Retriever mix,8 years old,Dog,63 pounds,2024.12.08,Charlotte-Mecklenburg Animal Services,TOOMEYD09,adopt,2024-12-08
ACORN (A1237357),Male,Rat Terrier,,Dog,16 pounds,2024.12.07,Charlotte-Mecklenburg Animal Services,DOG INTAKE,adopt,2024-12-08
BELLA (A5102656),Female,Pit Bull Terrier mix,11 years old,Dog,42 pounds,2024.12.07,Charlotte-Mecklenburg Animal Services,LST 03L,adopt,2024-12-08
CLAY (A1235790),Male,Pit Bull Terrier,,Dog,55 pounds,2024.12.07,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
REBA (A1233385),Female,American Bully and French Bulldog,,Dog,39 pounds,2024.12.07,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
DALLAS (A1233512),Male,American Staffordshire Terrier,4 years old,Dog,41 pounds,2024.12.07,Charlotte-Mecklenburg Animal Services,ADOPT 03R,adopt,2024-12-08
BRUNO (A1232009),Male,American Bulldog,3 years old,Dog,55 pounds,2024.12.06,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
DAWSON (A1235744),Male,Breed information is not provided by this shelter,10 months old,Dog,40 pounds,2024.12.06,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
WES (A1228042),Male,Pit Bull Terrier,"1 year, 7 months old",Dog,63 pounds,2024.12.06,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
LOUIE (A1229199),Male,Pit Bull Terrier mix,3 years old,Dog,50 pounds,2024.12.06,Charlotte-Mecklenburg Animal Services,ADOPT 13R,adopt,2024-12-08
APOLLO (A1224669),Male,Labrador Retriever mix,"2 years, 9 months old",Dog,65 pounds,2024.12.06,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
FINN (A1236754),Male,Soft-Coated Wheaten Terrier mix,4 years old,Dog,34 pounds,2024.12.06,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
JAKE (A1236755),Male,Chihuahua - Smooth Coated mix,7 years old,Dog,25 pounds,2024.12.06,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
A1237101,Male,Pit Bull Terrier,,Dog,28 pounds,2024.12.06,Charlotte-Mecklenburg Animal Services,ADPTPUP8R,adopt,2024-12-08
FLETCH (A1236035),Male,Labrador Retriever,"2 years, 1 month old",Dog,90 pounds,2024.12.06,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
HUEY (A1237025),Male,Breed information is not provided by this shelter,"1 year, 1 month old",Dog,87 pounds,2024.12.05,Charlotte-Mecklenburg Animal Services,ADOPT 07L,adopt,2024-12-08
CHRISTIAN (A1237161),Male,Pit Bull Terrier,5 months old,Dog,46 pounds,2024.12.05,Charlotte-Mecklenburg Animal Services,ADPTPUP6L,adopt,2024-12-08
CHUCHE (A1236783),Female,Pit Bull Terrier mix,16 weeks old,Dog,20 pounds,2024.12.05,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
FAWN (A1221109),Female,Australian Shepherd mix,,Dog,24 pounds,2024.12.05,Charlotte-Mecklenburg Animal Services,ADOPT 03L,adopt,2024-12-08
ROLLO (A1231872),Male,Labrador Retriever mix,10 months old,Dog,30 pounds,2024.12.05,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
COOKIE (A1232487),Female,Pit Bull Terrier,8 months old,Dog,31 pounds,2024.12.05,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
DUNCAN (A1233292),Male,Labrador Retriever,,Dog,33 pounds,2024.12.04,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
HENRY (A1235841),Male,Breed information is not provided by this shelter,"1 year, 2 months old",Dog,68 pounds,2024.12.04,Charlotte-Mecklenburg Animal Services,TOOMEYD18,adopt,2024-12-08
RAZZY (A1235310),Female,Pit Bull Terrier,"2 years, 2 months old",Dog,38 pounds,2024.12.04,Charlotte-Mecklenburg Animal Services,LST 11L,adopt,2024-12-08
ELSIE (A1234451),Female,Pit Bull Terrier,3 years old,Dog,43 pounds,2024.12.04,Charlotte-Mecklenburg Animal Services,LST 07R,adopt,2024-12-08
FAIRFIELD (A1234882),Male,Pit Bull Terrier,"2 years, 2 months old",Dog,55 pounds,2024.12.04,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
PANTHER (A1229288),Male,Pit Bull Terrier,5 years old,Dog,47 pounds,2024.12.04,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
DARLA MAE (A1229459),Female,Pit Bull Terrier,7 years old,Dog,38 pounds,2024.12.04,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
A1236954,Female,Pit Bull Terrier,7 months old,Dog,39 pounds,2024.12.04,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
HAZEL (A1236066),Female,Pit Bull Terrier,3 years old,Dog,40 pounds,2024.12.04,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
HUNTER (A1235927),Male,Pit Bull Terrier,7 years old,Dog,53 pounds,2024.12.04,Charlotte-Mecklenburg Animal Services,ADOPT 02L,adopt,2024-12-08
A1237237,Male,Pit Bull Terrier mix,,Dog,52 pounds,2024.12.04,Charlotte-Mecklenburg Animal Services,LST 10L,adopt,2024-12-08
A1237238,Male,Pit Bull Terrier,4 years old,Dog,52 pounds,2024.12.04,Charlotte-Mecklenburg Animal Services,LST 36L,adopt,2024-12-08
A1237244,Male,Pit Bull Terrier,,Dog,33 pounds,2024.12.04,Charlotte-Mecklenburg Animal Services,ADPTPUP2L,adopt,2024-12-08
A1237250,Female,Siberian Husky,,Dog,52 pounds,2024.12.04,Charlotte-Mecklenburg Animal Services,LST 20L,adopt,2024-12-08
WYATT (A1237255),Male,Cavalier King Charles Spaniel mix,2 years,Dog,14 pounds,2024.12.04,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
A1237205,Male,Pit Bull Terrier,,Dog,63 pounds,2024.12.03,Charlotte-Mecklenburg Animal Services,LST 02L,adopt,2024-12-08
A1237211,Female,Pit Bull Terrier,,Dog,41 pounds,2024.12.03,Charlotte-Mecklenburg Animal Services,LST 04R,adopt,2024-12-08
A1237221,Male,Pit Bull Terrier,3 years old,Dog,41 pounds,2024.12.03,Charlotte-Mecklenburg Animal Services,LST 26R,adopt,2024-12-08
MUSAK (A1237163),Male,Pit Bull Terrier,5 months old,Dog,35 pounds,2024.12.02,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
A1237173,Male,Pit Bull Terrier,,Dog,56 pounds,2024.12.02,Charlotte-Mecklenburg Animal Services,ADPTPUP8L,adopt,2024-12-08
A1237174,Male,English Coonhound (Redtick Coonhound) mix,,Dog,43 pounds,2024.12.02,Charlotte-Mecklenburg Animal Services,ADPTPUP10L,adopt,2024-12-08
CAPTAIN (A1237145),Male,Rottweiler and German Shepherd Dog,3 years old,Dog,66 pounds,2024.12.02,Charlotte-Mecklenburg Animal Services,LST 03R,adopt,2024-12-08
ACE (A1237150),Male,Pit Bull Terrier and Boxer,1 year,Dog,40 pounds,2024.12.02,Charlotte-Mecklenburg Animal Services,TOOMEYD23,adopt,2024-12-08
INKY (A1237151),Female,Catahoula Leopard Hound and Australian Cattle Dog,6 months old,Dog,33 pounds,2024.12.02,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
A1237152,Male,American Bully,,Dog,63 pounds,2024.12.02,Charlotte-Mecklenburg Animal Services,LST 08R,adopt,2024-12-08
GRISELDA (A1237154),Female,Pit Bull Terrier,5 months old,Dog,41 pounds,2024.12.02,Charlotte-Mecklenburg Animal Services,LST 33R,adopt,2024-12-08
EMMA (A1237155),Female,Pit Bull Terrier,,Dog,40 pounds,2024.12.02,Charlotte-Mecklenburg Animal Services,ADPTPUP3R,adopt,2024-12-08
A1237159,Male,Pit Bull Terrier,,Dog,46 pounds,2024.12.02,Charlotte-Mecklenburg Animal Services,ADPTPUP4L,adopt,2024-12-08
MACIE (A1236358),Female,Pit Bull Terrier mix,,Dog,13 pounds,2024.12.02,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
KERRY (A1228724),Male,Labrador Retriever mix,"2 years, 6 months old",Dog,66 pounds,2024.12.02,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
ANNIE (A1233509),Female,Pit Bull Terrier,4 years old,Dog,42 pounds,2024.12.02,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
PUMPKIN (A1234522),Male,Labrador Retriever mix,"2 years, 2 months old",Dog,49 pounds,2024.12.01,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
MOOSE (A1234846),Male,Pit Bull Terrier,7 years old,Dog,71 pounds,2024.12.01,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
KIEFER (A1235764),Male,Pit Bull Terrier,"2 years, 2 months old",Dog,71 pounds,2024.12.01,Charlotte-Mecklenburg Animal Services,TOOMEYD01,adopt,2024-12-08
CRUISE (A1230729),Male,Pit Bull Terrier,6 years old,Dog,67 pounds,2024.12.01,Charlotte-Mecklenburg Animal Services,LST 05R,adopt,2024-12-08
KIRBY (A1215843),Male,Pit Bull Terrier,"1 year, 11 months old",Dog,46 pounds,2024.12.01,Charlotte-Mecklenburg Animal Services,TOOMEYD15,adopt,2024-12-08
ZUNI (A1236367),Female,German Shepherd Dog mix,11 months old,Dog,61 pounds,2024.12.01,Charlotte-Mecklenburg Animal Services,TOOMEYD20,adopt,2024-12-08
KAE (A1236550),Male,Pit Bull Terrier and Labrador Retriever,8 months old,Dog,42 pounds,2024.12.01,Charlotte-Mecklenburg Animal Services,ADPTPUP9L,adopt,2024-12-08
ELVIS (A1236025),Male,Pit Bull Terrier,"2 years, 1 month old",Dog,39 pounds,2024.12.01,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
A1237130,Female,Carolina Dog,,Dog,50 pounds,2024.12.01,Charlotte-Mecklenburg Animal Services,LST 14L,adopt,2024-12-08
CLARK (A1237134),Male,Pit Bull Terrier,1 year,Dog,27 pounds,2024.12.01,Charlotte-Mecklenburg Animal Services,LST 22R,adopt,2024-12-08
ELLIOT (A1236892),Male,Pit Bull Terrier,"2 years, 1 month old",Dog,40 pounds,2024.12.01,Charlotte-Mecklenburg Animal Services,TOOMEYD11,adopt,2024-12-08
STAR (A5085033),Female,Labrador Retriever,11 years old,Dog,76 pounds,2024.12.01,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
ROO (A1236908),Female,Breed information is not provided by this shelter,,Dog,7 pounds,2024.11.30,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
MOCHA (A1236803),Female,Pit Bull Terrier mix,"2 years, 1 month old",Dog,43 pounds,2024.11.30,Charlotte-Mecklenburg Animal Services,ADOPT 13L,adopt,2024-12-08
DELILAH (A1236867),Female,Labrador Retriever,,Dog,62 pounds,2024.11.30,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
A1237094,Female,Pit Bull Terrier mix,,Dog,30 pounds,2024.11.30,Charlotte-Mecklenburg Animal Services,TOOMEYD28,adopt,2024-12-08
A1237099,Male,Pit Bull Terrier,,Dog,58 pounds,2024.11.30,Charlotte-Mecklenburg Animal Services,ADOPT 19R,adopt,2024-12-08
BLANCO (A1229189),Male,German Shepherd Dog mix,6 years old,Dog,80 pounds,2024.11.30,Charlotte-Mecklenburg Animal Services,TOOMEYD13,adopt,2024-12-08
LOKI (A1235021),Male,Breed information is not provided by this shelter,"2 years, 2 months old",Dog,70 pounds,2024.11.30,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
MEDUSA (A1233148),Female,Pit Bull Terrier mix,5 years old,Dog,47 pounds,2024.11.30,Charlotte-Mecklenburg Animal Services,TOOMEYD31,adopt,2024-12-08
MISS PRECIOUS (A1237081),Female,Labrador Retriever,8 years old,Dog,53 pounds,2024.11.29,Charlotte-Mecklenburg Animal Services,ADOPT 14R,adopt,2024-12-08
LORETTA (A1237023),Female,Pit Bull Terrier,8 years old,Dog,63 pounds,2024.11.27,Charlotte-Mecklenburg Animal Services,ADOPT 09L,adopt,2024-12-08
